title,company,location,posted_time,description,link
Python Developer with Database...,Virtusoft,"New York, NY",3 days ago,"Role- Python Developer with Database experience Location- NYC/ Chicago, IL/ Austin, TX Job Details: Experience in Financial Services...",https://www.dice.com/jobs/detail/Python-Developer-with-Database-experience-Virtusoft-New-York-NY-10001/10275679/6346078
Senior Data Lake Engineer with...,Cardinal Integrated Technologies Inc,"New York, NY",2 days ago,Title: Senior Data Lake Engineer with Java/Python Exp Duration: 6 months CTH Location: New York Job Description: Hands-on Tech lead,https://www.dice.com/jobs/detail/Senior-Data-Lake-Engineer-with-Java%26%2347Python-Exp-Cardinal-Integrated-Technologies-Inc-New-York-NY-10001/10121181/6224699
Python Developer / Data Engineer...,Gambit Technologies Inc,"New York, NY",1 day ago,The world's leading quant hedge fund is currently seeking top Python developers (or developers willing to learn Python) to help,https://www.dice.com/jobs/detail/Python-Developer-%26%2347-Data-Engineer-%24200K%2B-Gambit-Technologies-Inc-New-York-NY-10001/10116662/KB215467918
Talend Architect,"Capgemini America, Inc.","New York, NY",2 weeks ago,"About Capgemini A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of...",https://www.dice.com/jobs/detail/Talend-Architect-Capgemini-America%2C-Inc.-New-York-NY-10001/KANBAY/6335504
Technical Solutions Architect -...,"Cisco Systems, Inc.","New York, NY",12 hours ago,"Why You'll Love Cisco We change the World, you will become passionate about your employer and the brand you represent.",https://www.dice.com/jobs/detail/Technical-Solutions-Architect-%26%2345-Collaboration-Cisco-Systems%2C-Inc.-New-York-NY-10001/CXCISCO/1283609
Network Transformation Technical...,"Cisco Systems, Inc.","New York, NY",12 hours ago,"Why You'll Love Cisco We change the World, you will become passionate about your employer and the brand you represent.",https://www.dice.com/jobs/detail/Network-Transformation-Technical-Solution-Architect-Cisco-Systems%2C-Inc.-New-York-NY-10001/CXCISCO/1281051
Cybersecurity - Penetration...,PwC,"New York, NY",1 hour ago,"A career in our Threat, Intelligence and Vulnerability Management practice, within Cybersecurity and Privacy services, will provide...",https://www.dice.com/jobs/detail/Cybersecurity-%26%2345-Penetration-Testing%2C-Manager-PwC-New-York-NY-10016/10104943/902725
Financial Crime Technology &...,PwC,"New York, NY",1 hour ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Financial-Crime-Technology-%26-Analytics-%26%2345-Advisory-Senior-Associate-PwC-New-York-NY-10017/10104943/903143
"Architect, Big Data & Analytics -...",PwC,"New York, NY",1 hour ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Architect%2C-Big-Data-%26-Analytics-%26%2345-Sr-Associate-%28Financial-Services%29-PwC-New-York-NY-10017/10104943/904743
"Data & Analytics, Engineer - Sr...",PwC,"New York, NY",1 hour ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Data-%26-Analytics%2C-Engineer-%26%2345-Sr-Associate-%28Financial-Services%29-PwC-New-York-NY-10017/10104943/904747
Big Data Architecture Manager...,PwC,"New York, NY",1 hour ago,"A career in our Business Intelligence practice, within Data and Analytics Technology services, will provide you with the opportunity...",https://www.dice.com/jobs/detail/Big-Data-Architecture-Manager-%28Financial-Services%29-PwC-New-York-NY-10016/10104943/904751
Cloud Architect (Financial...,PwC,"New York, NY",1 hour ago,"A career in our Cloud and Network Architecture practice, within Cloud Computing and Networking services, will provide you with the",https://www.dice.com/jobs/detail/Cloud-Architect-%28Financial-Services%29-PwC-New-York-NY-10016/10104943/901551
Cybersecurity - Penetration...,PwC,"New York, NY",1 hour ago,"A career in our Threat, Intelligence and Vulnerability Management practice, within Cybersecurity and Privacy services, will provide...",https://www.dice.com/jobs/detail/Cybersecurity-%26%2345-Penetration-Testing-%26%2345-Senior-Associate-PwC-New-York-NY-10016/10104943/902605
Financial Services Crime...,PwC,"New York, NY",1 hour ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Financial-Services-Crime-Technology-%26-Analytics-%26%2345-Senior-Associate-PwC-New-York-NY-10017/10104943/904818
Financial QuantDev - FinTech...,Affinity North,"New York, NY",1 week ago,"Experienced candidates only, please. An exciting FinTech startup brings a proven, unique blend of business, quantitative and...",https://www.dice.com/jobs/detail/Financial-QuantDev-%26%2345-FinTech-startup-Affinity-North-New-York-NY-10001/10460281/6146680
Technical Analyst,"NTT DATA, Inc.","New York, NY",moments ago,"Title: Technical Analyst Duration: 3-6 months + possible extensions or right to hire Location: New York, NY If you are",https://www.dice.com/jobs/detail/Technical-Analyst-NTT-DATA%2C-Inc.-New-York-NY-10001/misiny1/19%26%234512685
Sr. Cloud Developer,"Insurance Services Office, Inc.","Jersey City, NJ",1 day ago,"Company Description With a history of impressive growth, an innovative culture, and offering industry-leading solutions, Verisk...",https://www.dice.com/jobs/detail/Sr.-Cloud-Developer-Insurance-Services-Office%2C-Inc.-Jersey-City-NJ-07097/10123386/405999950118901
"Manager, Product Development -...",The NPD Group,"Port Washington, NY",2 weeks ago,"The Manager, Analytic Solutions Product Development is part of NPD’s Analytic Solutions Product Development team. This...",https://www.dice.com/jobs/detail/Manager%2C-Product-Development-%26%2345-Analytic-Solutions-The-NPD-Group-Port-Washington-NY-11050/10228857/R001718
Data Engineer- Modeler,Atlantic Health System,"Morristown, NJ",2 weeks ago,"Data Engineer-Modeler Overview: Healthcare is an opportunity to utilize data assets including electronic medical records, population...",https://www.dice.com/jobs/detail/Data-Engineer%26%2345-Modeler-Atlantic-Health-System-Morristown-NJ-07960/athealth/00026729
Robotics Support (workfusion...,Bank Of America,"New York, NY",1 day ago,"Job Description: Leads a large project or multiple projects that are significant in scope and impact. Works independently, with...",https://www.dice.com/jobs/detail/Robotics-Support-%28workfusion-platform%29-Bank-Of-America-New-York-NY-10038/10118499/19081835%26%23451
Robotics Support (workfusion...,Bank Of America,"Jersey City, NJ",1 day ago,"Job Description: Leads a large project or multiple projects that are significant in scope and impact. Works independently, with...",https://www.dice.com/jobs/detail/Robotics-Support-%28workfusion-platform%29-Bank-Of-America-Jersey-City-NJ-07302/10118499/19081835
"Robotics Support (Pega, openspan...",Bank Of America,"New York, NY",1 day ago,"Job Description: Leads a large project or multiple projects that are significant in scope and impact. Works independently, with...",https://www.dice.com/jobs/detail/Robotics-Support-%28Pega%2C-openspan-platforms%29-Bank-Of-America-New-York-NY-10038/10118499/19081828%26%23451
"Robotics Support (Pega, openspan...",Bank Of America,"Jersey City, NJ",1 day ago,"Job Description: Leads a large project or multiple projects that are significant in scope and impact. Works independently, with...",https://www.dice.com/jobs/detail/Robotics-Support-%28Pega%2C-openspan-platforms%29-Bank-Of-America-Jersey-City-NJ-07302/10118499/19081828
Software Developer - Clinical...,Yoh - A Day & Zimmerman Company,"Woodcliff Lake, NJ",1 day ago,Our client is looking for a Software Developer - Clinical Solutions for their Woodcliff Lake offices. They are looking for,https://www.dice.com/jobs/detail/Software-Developer-%26%2345-Clinical-Solutions-Yoh-%26%2345-A-Day-%26-Zimmerman-Company-Woodcliff-Lake-NJ-07677/10107614/240232
"Senior Associate, Insights &...",New York Life Insurance Company,"New York, NY",1 day ago,A career at New York Life offers many opportunities. To be part of a growing and successful business. To reach,https://www.dice.com/jobs/detail/Senior-Associate%2C-Insights-%26-Analytics-New-York-Life-Insurance-Company-New-York-NY-10001/10127844a/81596%26%2345en_US
Sr. Software Engineer,BlackRock,"New York, NY",1 hour ago,About this role BlackRock is one of the world s preeminent asset management firms and a premier provider of global,https://www.dice.com/jobs/detail/Sr.-Software-Engineer-BlackRock-New-York-NY-10055/10114248/R192904
DevOps Engineer - Leading...,Affinity North,"New York, NY",1 week ago,Deployment and Runtime Platform is responsible for mission critical production platforms including: Private and public Cloud computing...,https://www.dice.com/jobs/detail/DevOps-Engineer-%26%2345-Leading-Investment-Bank-Affinity-North-New-York-NY-10001/10460281/6300059
Data Ops Support,Infostretch Corporation,"New York, NY",3 weeks ago,"Infostretch is a digital-first professional services firm. By combining in-depth experience with ready-made tools, frameworks,...",https://www.dice.com/jobs/detail/Data-Ops-Support-Infostretch-Corporation-New-York-NY-10001/10228528/data_ops
Quantitative developer C# .Net |...,Intellisearch,"New York, NY",3 weeks ago,"We are directly working with the hiring manager and looking for a Full Stack Developer (C#, .Net) for our direct",https://www.dice.com/jobs/detail/Quantitative-developer-C%23-.Net-%7C-Financial-Intellisearch-New-York-NY-08807/90707274/5925764
Software Development Team Lead,OptionMetrics,"New York, NY",3 weeks ago,OptionMetrics is seeking a Software Development Team Lead to join our NYC office to mentor and provide direction to a,https://www.dice.com/jobs/detail/Software-Development-Team-Lead-OptionMetrics-New-York-NY-10001/10107673/6177267
Enterprise Data Manager,ACA Compliance Group,"New York, NY",4 weeks ago,ACA Compliance Group ( ACA ) is a leading provider of risk management and technology solutions that focus on regulatory,https://www.dice.com/jobs/detail/Enterprise-Data-Manager-ACA-Compliance-Group-New-York-NY-10001/90902182/6304738
